title,address,price,availability,bedrooms,bathrooms,size_sqft,link
327 Clementi Avenue 5,327 Clementi Avenue 5,4200,Ready to Move,3,2,990,https://www.propertyguru.com.sg/listing/hdb-for-rent-327-clementi-avenue-5-25618936
430 Clementi Avenue 3,430 Clementi Avenue 3,3380,Available from 16 Jun,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-430-clementi-avenue-3-25619416
Verified Listing,321A Anchorvale Drive,,"S$ 4,200 /mo",Ready to Move,3,,https://www.propertyguru.com.sg/listing/hdb-for-rent-321a-anchorvale-drive-25598066?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMiIsImF2IjoyNTAwNjg5LCJhdCI6MTYzLCJidCI6MCwiY20iOjYzNDM2NDk3NSwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3MTU1OTM4MzEsImRpIjoiNTMxNmJiODk1MjliNGU5ZmE1YWQ3MTNlZDVlOTc3MjgiLCJkaiI6MSwiaWkiOiJjNDVhMzVkM2M2NjU0MzhlOTRmMTIwMmNkNGJjMmUxOCIsImRtIjozLCJmYyI6ODg5ODgxNjAzLCJmbCI6ODM3MTg5OTU4LCJpcCI6IjEzOC43NS4xMTguMTQ5Iiwia3ciOiJsaXN0aW5nLXJlbnQtYmVkcy0yLGxpc3RpbmctcmVudC1iZWRzLTMsbGlzdGluZy1yZW50LWJlZHMtNCxsaXN0aW5nLXJlbnQtYmVkcy01LHByaWNlIiwibWsiOiJsaXN0aW5nLXJlbnQtYmVkcy0zLHByaWNlIiwibnciOjExMTM1LCJwYyI6OTAwLCJvcCI6OTAwLCJtcCI6OTAwLCJlYyI6OTAwLCJnbSI6MCwiZXAiOm51bGwsInByIjoyMzU3MTQsInJ0IjoyLCJycyI6NTAwLCJzYSI6IjgxIiwic2IiOiJpLTBmMTFkODMxMTMxMWQ5NjdmIiwic3AiOjI2MzksInN0IjoxMTk4NzE4LCJ1ayI6ImY4NWQwYTk1LTE4ZWUtNGEyNS1hNjk4LTVjNDBiZmUzNGFiNyIsInRzIjoxNzQ4ODIyMzAxMzUxLCJiZiI6dHJ1ZSwicG4iOiIyLTMtNC01IiwiZ2MiOnRydWUsImdDIjp0cnVlLCJncyI6Im5vbmUiLCJ0eiI6IlVUQyIsImV0IjoyMDV9%26s%3D3GW1iLAeJYvvqRXzGmVQwLE69Ik
115 Clementi Street 13,115 Clementi Street 13,4500,Ready to Move,4,3,1590,https://www.propertyguru.com.sg/listing/hdb-for-rent-115-clementi-street-13-25584457
433 Clementi Avenue 3,433 Clementi Avenue 3,3400,Available from 1 Jul,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-433-clementi-avenue-3-20415041
426 Clementi Avenue 3,426 Clementi Avenue 3,4400,Available from 25 Jun,3,2,979,https://www.propertyguru.com.sg/listing/hdb-for-rent-426-clementi-avenue-3-25629670
113 Clementi Street 13,113 Clementi Street 13,4400,3,2,"1,119 sqft",,https://www.propertyguru.com.sg/listing/hdb-for-rent-113-clementi-street-13-25638039
320 Clementi Ave 4,clementi Avenue 4,3300,2,2,721 sqft,,https://www.propertyguru.com.sg/listing/hdb-for-rent-320-clementi-ave-4-24332892
309 Clementi Avenue 4,309 Clementi Avenue 4,3500,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-309-clementi-avenue-4-25602808
345 Clementi Avenue 5,345 Clementi Avenue 5,3499,Available from 25 Jul,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-345-clementi-avenue-5-25211187
425 Clementi Avenue 1,425 Clementi Avenue 1,4000,Ready to Move,2,2,1001,https://www.propertyguru.com.sg/listing/hdb-for-rent-425-clementi-avenue-1-25626484
327 Clementi Avenue 5,327 Clementi Avenue 5,3300,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-327-clementi-avenue-5-21310635
326 Clementi Avenue 5,326 Clementi Avenue 5,3300,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-326-clementi-avenue-5-20051792
345 Clementi Avenue 5,345 Clementi Avenue 5,4000,Ready to Move,3,2,990,https://www.propertyguru.com.sg/listing/hdb-for-rent-345-clementi-avenue-5-24559040
420 Clementi Avenue 1,420 Clementi Avenue 1,4300,Ready to Move,3,2,1000,https://www.propertyguru.com.sg/listing/hdb-for-rent-420-clementi-avenue-1-25639330
376 Clementi Avenue 4,376 Clementi Avenue 4,3600,Available from 30 Jun,2,2,760,https://www.propertyguru.com.sg/listing/hdb-for-rent-376-clementi-avenue-4-24539434
202 Clementi Avenue 6,202 Clementi Avenue 6,4000,Available from 29 Jul,3,2,1001,https://www.propertyguru.com.sg/listing/hdb-for-rent-202-clementi-avenue-6-25639659
433 Clementi Avenue 3,433 Clementi Avenue 3,3200,Available from 1 Aug,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-433-clementi-avenue-3-23222847
90 Dawson Road,90 Dawson Road,5200,Ready to Move,3,2,893,https://www.propertyguru.com.sg/listing/hdb-for-rent-90-dawson-road-25636379?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMiIsImF2IjozMDE5NTgwLCJhdCI6MTYzLCJidCI6MCwiY20iOjYzMzU3MjQ2NSwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3MTQyNDA4MTksImRpIjoiMzk0NDUyMTJiNGQyNGMwNDlmZDUxZjgwMDY3ZmZlZTkiLCJkaiI6MCwiaWkiOiJjMDQyNjMzYmJmZTI0NGFjOWVmYzg1NDdhNzM4MTM5NCIsImRtIjozLCJmYyI6ODg4NTI1MDM4LCJmbCI6ODM2MzkwOTI3LCJpcCI6IjEzOC43NS4xMTguMTQ5Iiwia3ciOiJsaXN0aW5nLXJlbnQtYmVkcy0yLGxpc3RpbmctcmVudC1iZWRzLTMsbGlzdGluZy1yZW50LWJlZHMtNCxsaXN0aW5nLXJlbnQtYmVkcy01LHByaWNlIiwibWsiOiJsaXN0aW5nLXJlbnQtYmVkcy0zLHByaWNlIiwibnciOjExMTM1LCJwYyI6OTAwLCJvcCI6OTAwLCJtcCI6OTAwLCJlYyI6OTAwLCJnbSI6MCwiZXAiOm51bGwsInByIjoyMzU3MTQsInJ0IjoyLCJycyI6NTAwLCJzYSI6IjgxIiwic2IiOiJpLTAwOTFkMmE1ZWFiMzc5NTljIiwic3AiOjYzOTYxMCwic3QiOjExOTg3MTgsInVrIjoiZjg1ZDBhOTUtMThlZS00YTI1LWE2OTgtNWM0MGJmZTM0YWI3IiwidHMiOjE3NDg4MjIzMDcxMzQsImJmIjp0cnVlLCJwbiI6IjItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiVVRDIiwiZXQiOjIwNX0%26s%3D-iqJM02MA9bA5iarMTgSgKPTzlQ
305 Clementi Avenue 4,305 Clementi Avenue 4,3400,Available from 10 Jul,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-305-clementi-avenue-4-24814542
432 Clementi Avenue 3,432 Clementi Avenue 3,3950,Ready to Move,3,2,1000,https://www.propertyguru.com.sg/listing/hdb-for-rent-432-clementi-avenue-3-23569240
354 Clementi Avenue 2,354 Clementi Avenue 2,4100,Available from 22 Jun,3,2,990,https://www.propertyguru.com.sg/listing/hdb-for-rent-354-clementi-avenue-2-21571759
339 Clementi Avenue 5,339 Clementi Avenue 5,3500,Ready to Move,3,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-339-clementi-avenue-5-25471964
308 Clementi Avenue 4,308 Clementi Avenue 4,3200,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-308-clementi-avenue-4-20092970
Verified Listing,321A Anchorvale Drive,,"S$ 4,200 /mo",Ready to Move,3,,https://www.propertyguru.com.sg/listing/hdb-for-rent-321a-anchorvale-drive-25598066?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMiIsImF2IjoyNTAwNjg5LCJhdCI6MTYzLCJidCI6MCwiY20iOjYzNDM2NDk3NSwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3MTU1OTM4MzEsImRpIjoiMzk0NDUyMTJiNGQyNGMwNDlmZDUxZjgwMDY3ZmZlZTkiLCJkaiI6MSwiaWkiOiI2NjE1MTNlMzQ2NGM0MWFjYjFkODBmMDgzY2RiNGQ1YSIsImRtIjozLCJmYyI6ODg5ODgxNjAzLCJmbCI6ODM3MTg5OTU4LCJpcCI6IjEzOC43NS4xMTguMTQ5Iiwia3ciOiJsaXN0aW5nLXJlbnQtYmVkcy0yLGxpc3RpbmctcmVudC1iZWRzLTMsbGlzdGluZy1yZW50LWJlZHMtNCxsaXN0aW5nLXJlbnQtYmVkcy01LHByaWNlIiwibWsiOiJsaXN0aW5nLXJlbnQtYmVkcy0zLHByaWNlIiwibnciOjExMTM1LCJwYyI6OTAwLCJvcCI6OTAwLCJtcCI6OTAwLCJlYyI6OTAwLCJnbSI6MCwiZXAiOm51bGwsInByIjoyMzU3MTQsInJ0IjoyLCJycyI6NTAwLCJzYSI6IjgxIiwic2IiOiJpLTAwOTFkMmE1ZWFiMzc5NTljIiwic3AiOjYzOTYxMCwic3QiOjExOTg3MTgsInVrIjoiZjg1ZDBhOTUtMThlZS00YTI1LWE2OTgtNWM0MGJmZTM0YWI3IiwidHMiOjE3NDg4MjIzMDcxMzUsImJmIjp0cnVlLCJwbiI6IjItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiVVRDIiwiZXQiOjIwNX0%26s%3DIhnRNjxPFPlsibnjEr1ehC8vYJ4
310 Clementi Avenue 4,310 Clementi Avenue 4,3660,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-310-clementi-avenue-4-25202935
456 Clementi Avenue 3,456 Clementi Avenue 3,4300,Ready to Move,3,2,1000,https://www.propertyguru.com.sg/listing/hdb-for-rent-456-clementi-avenue-3-18074957
304 Clementi Avenue 4,304 Clementi Avenue 4,3100,Ready to Move,2,2,700,https://www.propertyguru.com.sg/listing/hdb-for-rent-304-clementi-avenue-4-25320592
345 Clementi Avenue 5,345 Clementi Avenue 5,3900,Ready to Move,2,2,861,https://www.propertyguru.com.sg/listing/hdb-for-rent-345-clementi-avenue-5-22880064
429 Clementi Avenue 3,429 Clementi Avenue 3,3300,Available from 1 Jul,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-429-clementi-avenue-3-25607079
Casablanca,21 Rosewood Drive,4400,Ready to Move,3,3,1184,https://www.propertyguru.com.sg/listing/for-rent-casablanca-25562588?pixelUrl=https%3A%2F%2Fe-11135.adzerk.net%2Fe.gif%3Fe%3DeyJ2IjoiMS4xMiIsImF2IjoyNjI2MDk3LCJhdCI6MTYzLCJidCI6MCwiY20iOjYzMzkxODY0MiwiY2giOjU5NTM0LCJjayI6e30sImNyIjo3MTQ4NzE2NzYsImRpIjoiMzk0NDUyMTJiNGQyNGMwNDlmZDUxZjgwMDY3ZmZlZTkiLCJkaiI6MiwiaWkiOiIxZjFlY2E5YzI3ZTA0ZDQwODBkMmE3MmIyYjUxMjQzOCIsImRtIjozLCJmYyI6ODg5MTU2NTAxLCJmbCI6ODM2NzQxMTI2LCJpcCI6IjEzOC43NS4xMTguMTQ5Iiwia3ciOiJsaXN0aW5nLXJlbnQtYmVkcy0yLGxpc3RpbmctcmVudC1iZWRzLTMsbGlzdGluZy1yZW50LWJlZHMtNCxsaXN0aW5nLXJlbnQtYmVkcy01LHByaWNlIiwibWsiOiJsaXN0aW5nLXJlbnQtYmVkcy0zLHByaWNlIiwibnciOjExMTM1LCJwYyI6OTAwLCJvcCI6OTAwLCJtcCI6OTAwLCJlYyI6OTAwLCJnbSI6MCwiZXAiOm51bGwsInByIjoyMzU3MTQsInJ0IjoyLCJycyI6NTAwLCJzYSI6IjgxIiwic2IiOiJpLTAwOTFkMmE1ZWFiMzc5NTljIiwic3AiOjYzOTYxMCwic3QiOjExOTg3MTgsInVrIjoiZjg1ZDBhOTUtMThlZS00YTI1LWE2OTgtNWM0MGJmZTM0YWI3IiwidHMiOjE3NDg4MjIzMDcxMzUsImJmIjp0cnVlLCJwbiI6IjItMy00LTUiLCJnYyI6dHJ1ZSwiZ0MiOnRydWUsImdzIjoibm9uZSIsInR6IjoiVVRDIiwiZXQiOjIwNX0%26s%3DdU23VaHBSDCcz0e2kXTIhjqo8kA
304 Clementi Avenue 4,304 Clementi Avenue 4,3000,Ready to Move,2,2,700,https://www.propertyguru.com.sg/listing/hdb-for-rent-304-clementi-avenue-4-25609225
325 Clementi Avenue 5,325 Clementi Avenue 5,3400,Available from 4 Jul,2,2,700,https://www.propertyguru.com.sg/listing/hdb-for-rent-325-clementi-avenue-5-24039531
371 Clementi Avenue 4,371 Clementi Avenue 4,4200,Ready to Move,3,2,1011,https://www.propertyguru.com.sg/listing/hdb-for-rent-371-clementi-avenue-4-25603892
375 Clementi Avenue 4,375 Clementi Avenue 4,3200,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-375-clementi-avenue-4-25590367
343 Clementi Avenue 5,343 Clementi Avenue 5,3300,Ready to Move,2,2,646,https://www.propertyguru.com.sg/listing/hdb-for-rent-343-clementi-avenue-5-24510004
308 Clementi Avenue 4,308 Clementi Avenue 4,3300,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-308-clementi-avenue-4-25597582
310 Clementi Avenue 4,310 Clementi Avenue 4,3300,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-310-clementi-avenue-4-25634438
357 Clementi Avenue 2,357 Clementi Avenue 2,3788,Ready to Move,3,2,1259,https://www.propertyguru.com.sg/listing/hdb-for-rent-357-clementi-avenue-2-24255307
329 Clementi Avenue 2,329 Clementi Avenue 2,3200,Available from 15 Jul,2,2,700,https://www.propertyguru.com.sg/listing/hdb-for-rent-329-clementi-avenue-2-25343069
312B Clementi Avenue 4,312B Clementi Avenue 4,4200,Ready to Move,2,2,731,https://www.propertyguru.com.sg/listing/hdb-for-rent-312b-clementi-avenue-4-24489001
375 Clementi Avenue 4,375 Clementi Avenue 4,3500,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-375-clementi-avenue-4-19411983
118 Clementi Street 13,118 Clementi Street 13,4300,Available from 20 Jul,3,2,1200,https://www.propertyguru.com.sg/listing/hdb-for-rent-118-clementi-street-13-21947960
435 Clementi Avenue 3,435 Clementi Avenue 3,4500,Available from 22 Jun,3,2,980,https://www.propertyguru.com.sg/listing/hdb-for-rent-435-clementi-avenue-3-19528338
426 Clementi Avenue 3,426 Clementi Avenue 3,4400,Available from 25 Jun,3,2,979,https://www.propertyguru.com.sg/listing/hdb-for-rent-426-clementi-avenue-3-15725897
312A Clementi Avenue 4,312A Clementi Avenue 4,4000,Available from 16 Jun,2,2,742,https://www.propertyguru.com.sg/listing/hdb-for-rent-312a-clementi-avenue-4-24390767
304 Clementi Avenue 4,304 Clementi Avenue 4,3300,Ready to Move,2,2,792,https://www.propertyguru.com.sg/listing/hdb-for-rent-304-clementi-avenue-4-25502684
434 Clementi Avenue 3,434 Clementi Avenue 3,4500,Ready to Move,3,2,990,https://www.propertyguru.com.sg/listing/hdb-for-rent-434-clementi-avenue-3-25589313
Verified Listing,312B Clementi Avenue 4,,"S$ 4,000 /mo",Ready to Move,2,,https://www.propertyguru.com.sg/listing/hdb-for-rent-312b-clementi-avenue-4-25627141
363 Clementi Avenue 2,363 Clementi Avenue 2,3350,Ready to Move,2,2,883,https://www.propertyguru.com.sg/listing/hdb-for-rent-363-clementi-avenue-2-25588269
458 Clementi Avenue 3,458 Clementi Avenue 3,4200,Ready to Move,3,2,1184,https://www.propertyguru.com.sg/listing/hdb-for-rent-458-clementi-avenue-3-19221832
433 Clementi Avenue 3,433 Clementi Avenue 3,3500,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-433-clementi-avenue-3-23826884
309 Clementi Avenue 4,309 Clementi Avenue 4,3700,Ready to Move,2,2,720,https://www.propertyguru.com.sg/listing/hdb-for-rent-309-clementi-avenue-4-25241241
363 Clementi Avenue 2,363 Clementi Avenue 2,3888,Ready to Move,2,2,882,https://www.propertyguru.com.sg/listing/hdb-for-rent-363-clementi-avenue-2-21856591
315 Clementi Avenue 4,315 Clementi Avenue 4,3800,Available from 23 Jul,3,2,980,https://www.propertyguru.com.sg/listing/hdb-for-rent-315-clementi-avenue-4-22243406
356 Clementi Avenue 2,356 Clementi Avenue 2,4300,Ready to Move,3,2,1300,https://www.propertyguru.com.sg/listing/hdb-for-rent-356-clementi-avenue-2-25606337
354 Clementi Avenue 2,354 Clementi Avenue 2,3288,Available from 15 Aug,2,2,753,https://www.propertyguru.com.sg/listing/hdb-for-rent-354-clementi-avenue-2-20154978
461 Clementi Avenue 3,461 Clementi Avenue 3,4388,Ready to Move,3,2,110,https://www.propertyguru.com.sg/listing/hdb-for-rent-461-clementi-avenue-3-25633629
418 Clementi Avenue 1,418 Clementi Avenue 1,3400,Available from 20 Jun,2,2,753,https://www.propertyguru.com.sg/listing/hdb-for-rent-418-clementi-avenue-1-20906890
435 Clementi Avenue 3,435 Clementi Avenue 3,4300,Ready to Move,2,2,882,https://www.propertyguru.com.sg/listing/hdb-for-rent-435-clementi-avenue-3-23293702
304 Clementi Avenue 4,304 Clementi Avenue 4,3200,Ready to Move,2,2,883,https://www.propertyguru.com.sg/listing/hdb-for-rent-304-clementi-avenue-4-25633023
345 Clementi Avenue 5,345 Clementi Avenue 5,3100,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-345-clementi-avenue-5-25563234
202 Clementi Avenue 6,202 Clementi Avenue 6,3998,3,2,"1,001 sqft",,https://www.propertyguru.com.sg/listing/hdb-for-rent-202-clementi-avenue-6-25605457
442 Clementi Avenue 3,442 Clementi Avenue 3,3088,Ready to Move,2,2,730,https://www.propertyguru.com.sg/listing/hdb-for-rent-442-clementi-avenue-3-25520683
429 Clementi Avenue 3,429 Clementi Avenue 3,3300,Available from 1 Jul,2,2,67,https://www.propertyguru.com.sg/listing/hdb-for-rent-429-clementi-avenue-3-25629579
381 Clementi Avenue 5,381 Clementi Avenue 5,4500,Ready to Move,3,2,990,https://www.propertyguru.com.sg/listing/hdb-for-rent-381-clementi-avenue-5-25605442
358 Clementi Avenue 2,358 Clementi Avenue 2,3900,Ready to Move,3,2,990,https://www.propertyguru.com.sg/listing/hdb-for-rent-358-clementi-avenue-2-24373604
340 Clementi Avenue 5,340 Clementi Avenue 5,4500,Available from 15 Jul,3,2,1302,https://www.propertyguru.com.sg/listing/hdb-for-rent-340-clementi-avenue-5-21073866
426 Clementi Avenue 3,426 Clementi Avenue 3,3500,Available from 5 Jul,2,2,650,https://www.propertyguru.com.sg/listing/hdb-for-rent-426-clementi-avenue-3-24451572
302 Clementi Avenue 4,302 Clementi Avenue 4,4200,Ready to Move,2,2,990,https://www.propertyguru.com.sg/listing/hdb-for-rent-302-clementi-avenue-4-25607982
326 Clementi Avenue 5,326 Clementi Avenue 5,3500,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-326-clementi-avenue-5-25517077
377 Clementi Avenue 5,377 Clementi Avenue 5,3300,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-377-clementi-avenue-5-25621547
427 Clementi Avenue 3,427 Clementi Avenue 3,4500,Ready to Move,3,2,980,https://www.propertyguru.com.sg/listing/hdb-for-rent-427-clementi-avenue-3-25167206
431 Clementi Avenue 3,431 Clementi Avenue 3,3300,Available from 1 Jul,2,2,750,https://www.propertyguru.com.sg/listing/hdb-for-rent-431-clementi-avenue-3-25610395
208A Clementi Avenue 6,208A Clementi Avenue 6,3500,Ready to Move,2,2,729,https://www.propertyguru.com.sg/listing/hdb-for-rent-208a-clementi-avenue-6-25613483
306 Clementi Avenue 4,306 Clementi Avenue 4,3200,Available from 12 Jul,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-306-clementi-avenue-4-25599393
426 Clementi Avenue 3,426 Clementi Avenue 3,3400,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-426-clementi-avenue-3-18988932
306 Clementi Avenue 4,306 Clementi Avenue 4,3400,Available from 30 Sep,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-306-clementi-avenue-4-25624079
365 Clementi Avenue 2,365 Clementi Avenue 2,4200,Ready to Move,3,2,968,https://www.propertyguru.com.sg/listing/hdb-for-rent-365-clementi-avenue-2-24383740
113 Clementi Street 13,113 Clementi Street 13,4500,Ready to Move,3,2,1119,https://www.propertyguru.com.sg/listing/hdb-for-rent-113-clementi-street-13-25018750
429 Clementi Avenue 3,429 Clementi Avenue 3,3198,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-429-clementi-avenue-3-25622294
434 Clementi Avenue 3,434 Clementi Avenue 3,4400,Ready to Move,3,2,980,https://www.propertyguru.com.sg/listing/hdb-for-rent-434-clementi-avenue-3-25250541
432 Clementi Avenue 3,432 Clementi Avenue 3,3500,Ready to Move,3,2,800,https://www.propertyguru.com.sg/listing/hdb-for-rent-432-clementi-avenue-3-25619670
208B Clementi Avenue 6,208B Clementi Avenue 6,3500,Ready to Move,2,2,731,https://www.propertyguru.com.sg/listing/hdb-for-rent-208b-clementi-avenue-6-25582958
339 Clementi Avenue 5,339 Clementi Avenue 5,3100,Ready to Move,2,2,721,https://www.propertyguru.com.sg/listing/hdb-for-rent-339-clementi-avenue-5-25589792
362 Clementi Avenue 2,362 Clementi Avenue 2,4300,Available from 10 Jul,3,2,990,https://www.propertyguru.com.sg/listing/hdb-for-rent-362-clementi-avenue-2-25615971
326 Clementi Avenue 5,326 Clementi Avenue 5,3500,2,2,720 sqft,,https://www.propertyguru.com.sg/listing/hdb-for-rent-326-clementi-avenue-5-25448707
431 Clementi Avenue 3,431 Clementi Avenue 3,3944,Ready to Move,3,2,893,https://www.propertyguru.com.sg/listing/hdb-for-rent-431-clementi-avenue-3-17796239
358 Clementi Avenue 2,358 Clementi Avenue 2,3900,Ready to Move,3,2,990,https://www.propertyguru.com.sg/listing/hdb-for-rent-358-clementi-avenue-2-25512528
